"show_id","type","title","director","casts","country","date_added","release_year","rating","duration","listed_in","description"
s1363,TV Show,Total Drama,"","Clé Bennett, Christian Potenza, Scott McCord, Rachel Wilson, Drew Nelson, Stephanie Anne Mills, Novie Edwards, Megan Fahlenbock, Brian Foud, Emilie-Claire Barlow, Phillip David Lewis, Katie Crown, Sarah Gadon, Peter Oldring, Kristin Fairlie, Dan Petronijevic, Adam Greydon Reid","Canada, United States, France","1-Feb-21",2015,TV-PG,"7 Seasons","Kids' TV, TV Comedies","Heartwarming moments are interspersed with backstabbing, scheming, sabotage and broken alliances in this animated spoof of reality show competitions."
s1481,TV Show,Still Game,"","Ford Kiernan, Paul Riley, Jane McCarry, Greg Hemphill, Mark Cox, Gavin Mitchell, Sanjeev Kohli",United Kingdom,"30-Dec-20",2018,TV-14,"9 Seasons","British TV Shows, Classic & Cult TV, International TV Shows","Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb."
s1623,TV Show,Stargate SG-1,"","Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones","United States, Canada","1-Dec-20",2006,TV-MA,"10 Seasons","Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy.
s1640,TV Show,Heartbreak High,"","Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou, Rel Hunt, Putu Winchester, Salvatore Coco, Barbara Gouskos, Ivar Kants, Stephen O'Rourke, Abi Tucker, Scott Major, Corey Page, Despina Caldis, Deni Gordon, Jon Pollard, Vince Poletto, Andrea Moor, Jeremy Lindsay Taylor, Doris Younane, Tony Martin, Sebastian Goldspink, Katherine Halliday, Marcel Bracks, Nina Liu, Morna Seres, Nathalie Roy, Rebecca Smart, Fleur Beaupert, Alex Dimitriades, Tina Bursill, Peter Sumner, Mario Gamma, Tai Nguyen, Inge Hornstra, Rupert Reid, John Walton, Nick Lathouris, Hugh Baldwin, Sarah Lambert, Jan Adele, Diane Craig, Ian Bliss, Alexandra Brunning, Kym Wilson, Isabella Gutierrez, Simon Baker",Australia,"27-Nov-20",1999,TV-14,"7 Seasons","International TV Shows, TV Dramas, Teen TV Shows",A crash course on the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney.
s1702,TV Show,American Horror Story,"","Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston",United States,"13-Nov-20",2019,TV-MA,"9 Seasons","TV Horror, TV Mysteries, TV Thrillers","This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
s1751,TV Show,Dawson's Creek,"","James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil",United States,"1-Nov-20",2002,TV-14,"6 Seasons","Romantic TV Shows, TV Dramas, Teen TV Shows","This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex."
s1760,TV Show,LEGO Ninjago: Masters of Spinjitzu,"","Vincent Tong, Jillian Michaels, Ian James Corlett, John Novak, Paul Dobson, Michael Adamthwaite, Kelly Metzger, Brent Miller, Kirby Morrow, Brian Drummond, Mark Oliver, Michael Kopsa","Denmark, Singapore, Canada, United States","1-Nov-20",2019,TV-Y7,"10 Seasons",Kids' TV,"Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld."
s1780,TV Show,Marvel's Agents of S.H.I.E.L.D.,"","Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons",United States,"30-Oct-20",2020,TV-14,"7 Seasons","TV Action & Adventure, TV Sci-Fi & Fantasy","Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats."
s1879,TV Show,The 100,"","Eliza Taylor, Paige Turco, Bob Morley, Marie Avgeropoulos, Christopher Larkin, Henry Ian Cusick, Isaiah Washington, Lindsey Morgan, Devon Bostick, Richard Harmon, Ricky Whittle, Jarod Joseph, Chelsey Reist, Sachin Sahel, Adina Porter","United States, Canada","8-Oct-20",2020,TV-MA,"7 Seasons","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","A century after Earth was devastated by a nuclear apocalypse, 100 space station residents are sent to the planet to determine whether it's habitable."
s1934,TV Show,Wentworth,"","Danielle Cormack, Nicole da Silva, Kate Atkinson, Celia Ireland, Shareena Clanton, Aaron Jeffery, Robbie Magasiva, Katrina Milosevic, Jacqueline Brennan, Ra Chapman, Pamela Rabe, Sigrid Thornton, Socratis Otto, Bernard Curry, Tammy MacIntosh, Kate Jenkinson",Australia,"30-Sep-20",2020,TV-MA,"8 Seasons","Crime TV Shows, TV Dramas",Bea Smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison.
s1981,TV Show,The Blacklist,"","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold, Harry Lennix, Amir Arison, Hisham Tawfiq, Mozhan Marnò",United States,"18-Sep-20",2019,TV-14,"7 Seasons","Crime TV Shows, TV Dramas, TV Thrillers","After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
s1999,TV Show,Call the Midwife,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",United Kingdom,"15-Sep-20",2020,TV-MA,"9 Seasons","British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
s2010,TV Show,Girlfriends,"","Tracee Ellis Ross, Golden Brooks, Persia White, Jill Marie Jones, Reginald C. Hayes",United States,"11-Sep-20",2007,TV-14,"8 Seasons",TV Comedies,"Four close friends in Los Angeles challenge and support each other through life's triumphs and disasters. Sophisticated, relatable and always funny."
s2074,TV Show,"Sister, Sister","","Tia Mowry-Hardrict, Jackée Harry, Tamera Mowry-Housley, Tim Reid, Marques Houston, RonReaco Lee, Deon Richmond",United States,"1-Sep-20",1998,TV-PG,"6 Seasons","TV Comedies, Teen TV Shows","Separated at birth, twin sisters Tia Landry and Tamera Campbell reunite after 14 years and soon move in together, blending families and personalities."
s2174,TV Show,Moesha,"","Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson",United States,"1-Aug-20",2000,TV-PG,"6 Seasons","TV Comedies, Teen TV Shows","Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together."
s2204,TV Show,Shameless (U.S.),"","William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",United States,"26-Jul-20",2019,TV-MA,"10 Seasons","TV Comedies, TV Dramas",This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.
s2294,TV Show,Cable Girls,"","Blanca Suárez, Nadia de Santiago, Ana Fernández, Maggie Civantos, Ana Polvorosa, Yon González, Martiño Rivas, Nico Romero, Borja Luna, Sergio Mur, Concha Velasco, Antonio Velázquez, Ernesto Alterio, Ira del Río, Angela Cremonte, Andrea Carballo",Spain,"3-Jul-20",2019,TV-MA,"6 Seasons","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace."
s2391,TV Show,How to Get Away with Murder,"","Viola Davis, Billy Brown, Alfred Enoch, Jack Falahee, Katie Findlay, Aja Naomi King, Matt McGorry, Karla Souza, Charlie Weber, Liza Weil",United States,"13-Jun-20",2020,TV-14,"6 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case."
s2424,TV Show,Supernatural,Phil Sgriccia,"Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert","United States, Canada","5-Jun-20",2019,TV-14,"15 Seasons","Classic & Cult TV, TV Action & Adventure, TV Horror","Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters."
s2516,TV Show,Patriot Act with Hasan Minhaj,"",Hasan Minhaj,United States,"17-May-20",2020,TV-MA,"6 Seasons","Stand-Up Comedy & Talk Shows, TV Comedies","Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series."
s2524,TV Show,Madam Secretary,"","Téa Leoni, Tim Daly, Bebe Neuwirth, Zeljko Ivanek, Erich Bergen, Patina Miller, Geoffrey Arend, Kathrine Herzer, Evan Roe, Wallis Currie-Wood",United States,"15-May-20",2019,TV-PG,"6 Seasons",TV Dramas,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family."
s2600,TV Show,El señor de los Cielos,"","Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez","United States, Mexico, Colombia","30-Apr-20",2019,TV-MA,"7 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.
s2719,TV Show,Community,"","Ken Jeong, Jim Rash, Donald Glover, Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie, Chevy Chase, Yvette Nicole Brown",United States,"1-Apr-20",2015,TV-14,"6 Seasons",TV Comedies,"When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his."
s2741,TV Show,Saint Seiya,"","Toru Furuya, Hirotaka Suzuoki, Ryo Horikawa, Koichi Hashimoto, Hideyuki Hori, Keiko Han, Yuriko Yamamoto, Kohei Miyauchi, Mami Koyama",Japan,"1-Apr-20",1986,TV-14,"6 Seasons",Anime Series,A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.
s2948,TV Show,Arrow,James Bamford,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",United States,"5-Feb-20",2019,TV-14,"8 Seasons","Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows."
s2995,TV Show,The Ranch,"","Ashton Kutcher, Sam Elliott, Debra Winger, Elisha Cuthbert, Kelli Goss, Wilmer Valderrama, Danny Masterson",United States,"24-Jan-20",2020,TV-MA,"8 Seasons","TV Comedies, TV Dramas","Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family."
s3109,TV Show,Private Practice,"","Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben",United States,"22-Dec-19",2012,TV-14,"6 Seasons","TV Comedies, TV Dramas","At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine."
s3248,TV Show,Trolls: The Beat Goes On!,"","Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff",United States,"22-Nov-19",2019,TV-Y7,"8 Seasons","Kids' TV, TV Comedies","As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving."
s3370,TV Show,BoJack Horseman,"","Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",United States,"25-Oct-19",2020,TV-MA,"6 Seasons",TV Comedies,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?"
s3542,TV Show,Naruto,Hayato Date,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Toshihiko Seki, Hidekatsu Shibata, Masako Katsuki, Nana Mizuki",Japan,"1-Sep-19",2006,TV-14,"9 Seasons","Anime Series, International TV Shows","Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series."
s3654,TV Show,Comedians in Cars Getting Coffee,Jerry Seinfeld,Jerry Seinfeld,United States,"19-Jul-19",2019,TV-14,"6 Seasons","Stand-Up Comedy & Talk Shows, TV Comedies","Jerry Seinfeld's roving talk show combines coffee, laughs and vintage cars into quirky, caffeine-fueled adventures with the sharpest minds in comedy."
s3928,TV Show,New Girl,"","Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone, Lamorne Morris, Damon Wayans Jr.",United States,"11-Apr-19",2018,TV-14,"7 Seasons","Romantic TV Shows, TV Comedies","Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world."
s3944,TV Show,Spirit: Riding Free,"","Amber Frank, Sydney Park, Bailey Gambertoglio, Darcy Rose Byrnes, Nolan North, Kari Wahlgren, Andy Pessoa, Tiya Sircar, Jonathan Craig WIlliams, Robert Knepper",United States,"5-Apr-19",2019,TV-Y7,"8 Seasons",Kids' TV,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail."
s4085,TV Show,Chef's Table,"","",United States,"22-Feb-19",2019,TV-MA,"6 Seasons","Docuseries, Reality TV","In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food."
s4221,TV Show,COMEDIANS of the world,"","Neal Brennan, Chris D'Elia, Nicole Byer, Nick Swardson, DeAnne Smith, Ivan Decker, Dave Merheje, K. Trevor Wilson, Joel Dommett, Mae Martin, Nish Kumar, Ellie Taylor, Urzila Carlson, Joel Creasey, Nazeem Hussain, Cal Wilson, Riaad Moosa, Tumi Morake, Loyiso Gola, Loyiso Madinga, Atul Khatri, Aditi Mittal, Amit Tandon, Franco Escamilla, Hugo El Cojo Feliz, Gaby Llanas, Enissa Amani, Ilka Bessin, Kaya Yanar, Thiago Ventura, Mhel Merrer, Afonso Padilha, Shirley Souagnon, Jason Brokerss, Tania Dutel, Donel Jack'sman, Ibraheem Alkhairallah, Rawsan Hallak, Adi Khalefa, Moayad Alnefaie, Louis-José Houde, François Bellefeuille, Katherine Levac, Adib Alkhalidey, Martijn Koning, Soundos El Ahmadi, Rayen Panday",United States,"1-Jan-19",2019,TV-MA,"13 Seasons","Stand-Up Comedy & Talk Shows, TV Comedies",This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.
s4312,TV Show,Voltron: Legendary Defender,"","Jeremy Shada, Tyler Labine, Bex Taylor-Klaus, Josh Keaton, Steven Yeun, Kimberly Brooks, Rhys Darby, A.J. LoCascio",United States,"14-Dec-18",2018,TV-Y7,"8 Seasons",Kids' TV,"In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil."
s4414,TV Show,Kopitiam,"","Joanna Bessey, Douglas Lim, Lina Teoh, Rashid Salleh, Mano Maniam, Tan Jin Chor",Malaysia,"3-Nov-18",2003,TV-14,"7 Seasons","International TV Shows, TV Comedies","A young woman returns to Malaysia to take over her father’s old coffee shop. Along with inheriting the Kopitiam, she gains a kooky group of friends."
s4748,TV Show,Kath and Kim,"","Jane Turner, Gina Riley, Glenn Robbins, Peter Rowsthorn, Magda Szubanski",Australia,"28-Jul-18",2007,TV-MA,"6 Seasons",TV Comedies,"As Kath prepares to wed fine-meats purveyor Kel, her daughter Kim moves back home after becoming disillusioned with her two-month marriage to Brett."
s4799,TV Show,NCIS,"","Mark Harmon, Michael Weatherly, Pauley Perrette, David McCallum, Sean Murray, Cote de Pablo, Brian Dietzen, Rocky Carroll, Lauren Holly, Sasha Alexander, Joe Spano, Alan Dale, Emily Wickersham, Pancho Demmings",United States,"1-Jul-18",2017,TV-14,"15 Seasons","Crime TV Shows, TV Dramas, TV Mysteries",Follow the quirky agents of the NCIS – the Naval Criminal Investigative Service – as they track down terrorists and other high-profile criminals.
s4947,TV Show,Star Trek: The Next Generation,"","Patrick Stewart, Jonathan Frakes, LeVar Burton, Michael Dorn, Marina Sirtis, Brent Spiner, Gates McFadden, Majel Barrett, Wil Wheaton",United States,"2-Apr-18",1993,TV-PG,"7 Seasons","TV Action & Adventure, TV Sci-Fi & Fantasy","Decades after the adventures of the original Enterprise crew, Capt. Jean-Luc Picard leads a new Enterprise on missions to explore unknown worlds."
s4965,TV Show,Trailer Park Boys,"","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens",Canada,"30-Mar-18",2018,TV-MA,"12 Seasons","Classic & Cult TV, Crime TV Shows, International TV Shows",Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.
s5036,TV Show,Dragons: Race to the Edge,"","Jay Baruchel, America Ferrera, T.J. Miller, Christopher Mintz-Plasse, Andree Vermeulen, Zack Pearlman",United States,"16-Feb-18",2018,TV-Y7,"6 Seasons","Kids' TV, TV Action & Adventure","From the creators of ""How to Train Your Dragon"" comes an all-new Netflix original series that takes Hiccup and Toothless to the edge of adventure!"
