"show_id","type","title","director","casts","country","date_added","release_year","rating","duration","listed_in","description"
s174,Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,"1-Sep-21",2015,PG-13,"83 min","Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way","","","31-Aug-21",2021,TV-MA,"86 min","Documentaries, Sports Movies","They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,Bob Ross,"","25-Aug-21",2021,TV-14,"93 min",Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
s231,Movie,The River Runner,Rush Sturges,"","","25-Aug-21",2021,TV-MA,"86 min","Documentaries, Sports Movies","In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash."
s234,Movie,Count Me In,Mark Lo,"",United Kingdom,"24-Aug-21",2021,TV-MA,"82 min","Documentaries, Music & Musicals",This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
s236,Movie,Untold: Caitlyn Jenner,Crystal Moselle,"","","24-Aug-21",2021,TV-PG,"70 min","Documentaries, LGBTQ Movies, Sports Movies",Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,"","","18-Aug-21",2021,TV-MA,"86 min","Documentaries, International Movies",Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
s263,Movie,Untold: Deal With the Devil,Laura Brownson,"","","18-Aug-21",2021,TV-MA,"78 min","Documentaries, LGBTQ Movies, Sports Movies","Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life."
s284,Movie,Misha and the Wolves,Sam Hobkinson,"","Belgium, United Kingdom","11-Aug-21",2021,PG-13,"90 min","Documentaries, International Movies","As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
s291,Movie,Untold: Malice at the Palace,Floyd Russ,"",United States,"10-Aug-21",2021,TV-MA,"70 min","Documentaries, Sports Movies","Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy."
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal","",Brazil,"5-Aug-21",2013,TV-MA,"69 min","Documentaries, International Movies","A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
s305,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,Jackie Collins,United Kingdom,"5-Aug-21",2021,TV-14,"97 min",Documentaries,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
s318,Movie,Pray Away,Kristine Stolakis,"",United States,"3-Aug-21",2021,PG-13,"102 min","Documentaries, LGBTQ Movies","Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."
s319,Movie,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",Maximilian Schmidt,"","3-Aug-21",2021,TV-MA,"97 min","Documentaries, International Movies","Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
s368,Movie,I'm Glad I Did,Selçuk Metin,"Metin Akpınar, Demet Akbağ, Umur Bugay, Ahmet Gülhan, Dikmen Gürün, Kandemir Konduk, Perran Kutman, Zeynep Oral, Nevra Serezli, Selma Sonat, Suat Sungur, Ferhan Şensoy, Cihat Tamer, Demet Taner","","30-Jul-21",2020,TV-14,"114 min","Documentaries, International Movies",Glimpse into the life and decades-long career of Turkish performer Metin Akpınar through personal interviews with him and his contemporaries.
s379,Movie,Fantastic Fungi,Louie Schwartzberg,"",United States,"28-Jul-21",2019,TV-14,"81 min",Documentaries,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
s405,Movie,"9to5: The Story of a Movement","","","","22-Jul-21",2021,TV-MA,"85 min",Documentaries,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment."
s5917,Movie,My Own Man,David Sampliner,David Sampliner,United States,"6-Mar-15",2015,TV-MA,"82 min",Documentaries,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood."
s6115,Movie,Alive and Kicking,Susan Glatzer,"","Sweden, United States","10-Aug-17",2016,TV-14,"89 min",Documentaries,Take an inside look at swing dancing's continued prosperity and the lively and joyous personalities that make the art form so unique.
s456,Movie,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,Emicida,"","15-Jul-21",2021,TV-MA,"100 min","Documentaries, International Movies, Music & Musicals","Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album ""AmarElo."""
s458,Movie,Lift Like a Girl,Mayye Zayed,"","Egypt, Denmark, Germany","15-Jul-21",2021,TV-PG,"93 min","Documentaries, International Movies, Sports Movies","With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level."
s463,Movie,This Changes Everything,Tom Donahue,"",United States,"15-Jul-21",2019,TV-MA,"96 min",Documentaries,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers.
s468,Movie,Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,Daniel Giménez Cacho,"","14-Jul-21",2021,TV-MA,"100 min","Documentaries, International Movies",A deep dive into the work of renowned Mexican journalist Manuel Buendía looks to unravel his murder and the ties between politics and drug trafficking.
s474,Movie,Born to Play,Viridiana Lieberman,"",United States,"12-Jul-21",2020,TV-MA,"93 min","Documentaries, Sports Movies","This documentary follows the Boston Renegades — an all-woman, tackle football team — as they risk their time, families and day jobs for the game."
s477,Movie,The Tour,Juraj Šajmovič,"Miloš Knor, Lukáš Pavlásek, Tomáš Matonoha, Ester Kočičková, Michal Kavalčík, Richard Nedvěd","","10-Jul-21",2016,TV-MA,"93 min","Comedies, Documentaries, International Movies","Miloš Knor brings comedians Lukáš Pavlásek, Tomáš Matonoha, Ester Kočičková, Michal Kavalčík and Richard Nedvěd on a tour around the Czech Republic."
s496,Movie,Awon Boyz,Tolulope Itegboje,"","","7-Jul-21",2019,TV-MA,"38 min","Documentaries, International Movies",This documentary takes a close look at the lives and passions of the men and boys who hustle or run with a gang on the streets of Lagos.
s561,Movie,Audible,Matt Ogens,"","","1-Jul-21",2021,PG-13,"39 min","Documentaries, Sports Movies","Shaken by a friend's suicide, a Deaf high school football player copes with family and relationships while anticipating his final homecoming game."
s635,Movie,Wonder Boy,Anissa Bonnefont,Olivier Rousteing,France,"26-Jun-21",2019,TV-14,"83 min","Documentaries, International Movies",This revealing documentary follows Balmain creative director Olivier Rousteing as he brings his bold designs to life and goes in search of his origins.
s642,Movie,Sisters on Track,"","","","24-Jun-21",2021,PG,"97 min","Documentaries, Sports Movies",Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.
s646,Movie,Murder by the Coast,Tània Balló,"","","23-Jun-21",2021,TV-14,"89 min","Documentaries, International Movies","In 1999, teen Rocío Wanninkhof is murdered. Her mother's ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth."
s706,Movie,Biking Borders,Max Jabs,"Max Jabs, Nono Konopka",Germany,"16-Jun-21",2019,TV-14,"89 min","Documentaries, International Movies, Sports Movies","Best friends Max and Nono bike from Berlin to Beijing, collecting donations to build a school for a unique fundraising adventure in this documentary."
s717,Movie,FTA,Francine Parker,"Jane Fonda, Donald Sutherland, Pamela Donegan, Len Chandler, Michael Alaimo, Holly Near, Paul Mooney, Rita Martinson",United States,"15-Jun-21",1972,TV-MA,"104 min",Documentaries,"The restored documentary captures the Pacific leg of the 1971 anti-Vietnam War ""Free the Army"" comedy tour and experiences on both sides of the stage."
s718,Movie,Headspace: Unwind Your Mind,"","Andy Puddicombe, Evelyn Lewis Prieto, Ginger Daniels, Darren Pettie, Simon Prebble, Rhiannon Mcgavin, Kate Seftel","","15-Jun-21",2021,TV-G,"273 min",Documentaries,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special."
s723,Movie,Sir! No Sir!,David Zeiger,Troy Garity,United States,"15-Jun-21",2005,TV-MA,"84 min",Documentaries,This documentary chronicles the largely forgotten antiwar activities of American GIs and other members of the military during the Vietnam era.
s725,Movie,The Reason I Jump,Jerry Rothwell,"","United States, United Kingdom","15-Jun-21",2021,TV-14,"82 min",Documentaries,The diverse experiences and emotions of five young people with autism fuel this illuminating documentary based on Naoki Higashida's bestselling memoir.
s728,Movie,Picture a Scientist,"Ian Cheney, Sharon Shattuck","",United States,"13-Jun-21",2020,TV-MA,"97 min",Documentaries,"In this documentary, leading women scientists discuss the inequalities they've faced as they set out to create a new formula to make STEM open to all."
s739,Movie,Trese After Dark,"","","","11-Jun-21",2021,TV-14,"36 min","Anime Features, Documentaries","Stars and creators gather to discuss “Trese,” from its Filipino folklore inspirations to the comic’s beginnings and its journey to an anime series."
s756,Movie,Kitty Love: An Homage to Cats,"",Nicolette Kluijver,Netherlands,"5-Jun-21",2021,TV-G,"61 min","Children & Family Movies, Documentaries, International Movies","Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos."
s758,Movie,Breaking Boundaries: The Science Of Our Planet,Jonathan Clay,"David Attenborough, Johan Rockström",United States,"4-Jun-21",2021,TV-PG,"74 min",Documentaries,David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.
s770,Movie,From Stress to Happiness,"Alejandro De Grazia, Juan Stadler","",Argentina,"3-Jun-21",2020,TV-G,"58 min","Documentaries, International Movies","A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world."""
s771,Movie,Myriam Fares: The Journey,Myriam Fares,Myriam Fares,United Arab Emirates,"3-Jun-21",2021,TV-14,"72 min","Documentaries, International Movies, Music & Musicals","From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown."
s782,Movie,Black Holes | The Edge of All We Know,Peter Galison,"","","2-Jun-21",2021,TV-14,"99 min",Documentaries,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.
s791,Movie,Dream/Killer,Andrew Jenks,"Bill Ferguson, Ryan Ferguson",United States,"2-Jun-21",2015,TV-MA,"109 min",Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
s845,Movie,Nail Bomber: Manhunt,Daniel Vernon,"","","26-May-21",2021,TV-MA,"73 min","Documentaries, International Movies","This documentary examines the 1999 London bombings that targeted Black, Bangladeshi and gay communities, and the race to find the far-right perpetrator."
s855,Movie,Creating an Army of the Dead,"","","","21-May-21",2021,TV-MA,"29 min",Documentaries,"Zack Snyder and his ""Army of the Dead"" team dive into the film's wild stunts, groundbreaking effects and the evolution of the zombie genre."
s861,Movie,Hating Peter Tatchell,Christopher Amos,"",Australia,"20-May-21",2020,TV-MA,"91 min","Documentaries, International Movies, LGBTQ Movies",This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil.
s868,Movie,The Last Days,James Moll,"",United States,"19-May-21",1998,PG-13,"87 min",Documentaries,This Oscar-winning documentary recounts the harrowing stories of five Hungarian Jews who endured the horrors of the Holocaust and Hitler's reign.
s871,Movie,Amy Tan: Unintended Memoir,James Redford,Amy Tan,United States,"18-May-21",2021,TV-14,"101 min",Documentaries,"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary."
s894,Movie,Wave of Cinema: Filosofi Kopi,Adriano Rudiman,"Maliq & D'Essentials, Fourtwnty, Gede Robi, Nadin Amizah, Ananda Badudu, Leanna Rachel, Rio Dewanto, Chicco Jerikho","","13-May-21",2020,TV-14,"64 min","Documentaries, International Movies, Music & Musicals","In this concert film, artists perform music from the soundtrack of ""Filosofi Kopi,"" which tells the story of coffee and the people who cherish it."
s908,Movie,In Our Mothers' Gardens,Shantrelle P. Lewis,"",United States,"7-May-21",2020,TV-MA,"85 min",Documentaries,An unplanned pregnancy upends the carefree lives of a young woman and her flatmate as they discover the struggles of single motherhood.
s915,Movie,Unrest,Jennifer Brea,"Jennifer Brea, Omar Wasow, Jessica Taylor-Bearman","United Kingdom, United States","7-May-21",2017,TV-MA,"97 min",Documentaries,"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome."
s918,Movie,Framing John DeLorean,"Don Argott, Sheena M. Joyce","Alec Baldwin, Josh Charles, Morena Baccarin, Dean Winters, Michael Rispoli, Dana Ashbrook, Jason Jones, Josh Cooke, Sean Cullen, William Hill",United States,"5-May-21",2019,TV-MA,"109 min","Documentaries, Dramas","From his rise in the auto industry to his fall from grace, John DeLorean's legacy of power, fast cars and drugs comes to life in this documentary."
s984,Movie,Heroes: Silence and Rock & Roll,Alexis Morante,"Enrique Bunbury, Juan Valdivia, Joaquín Cardiel, Pedro Andreu",Spain,"23-Apr-21",2021,TV-MA,"95 min","Documentaries, International Movies, Music & Musicals","An exploration of the rise of Héroes del Silencio, the seminal 1980s Spanish rock band. Anchored by Enrique Bunbury, they focused on a harder sound."
s999,Movie,Searching For Sheela,"",Ma Anand Sheela,India,"22-Apr-21",2021,TV-14,"58 min","Documentaries, International Movies",Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune’s spokesperson returns to India after decades for an interview tour.
s1021,Movie,Madness in the Desert,Satyajit Bhatkal,"Aamir Khan, Ashutosh Gowariker",India,"17-Apr-21",2004,TV-14,"141 min","Documentaries, International Movies","The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal."
s1012,Movie,Free to Play,"","",United States,"19-Apr-21",2014,TV-14,"76 min",Documentaries,This documentary follows three professional video game players as they compete in an international tournament with a million-dollar prize.
s1040,Movie,Dark City Beneath the Beat,TT The Artist,"Uneek, Mighty Mark, Tsu Terry, TT The Artist",United States,"15-Apr-21",2020,TV-MA,"65 min","Documentaries, Music & Musicals","In this documentary, TT the Artist captures the irrepressible bounce and infectious beats of a Baltimore club scene that demands to be seen and heard."
s1054,Movie,Time Is Illmatic,One9,"Nasir 'Nas' Jones, Busta Rhymes, Pete Rock, Pharrell Williams, Q-Tip, Swizz Beatz, Alicia Keys, DJ Premier",United States,"15-Apr-21",2014,TV-MA,"75 min","Documentaries, Music & Musicals","Providing a behind-the-scenes look at the making of Nas's debut album, this documentary also delves into his deep connection to his New York roots."
s1055,Movie,Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman,"Isyana Sarasvati, Kunto Aji, Sisir Tanah, Chiki Fawzi, ARAH, Hindia, Ardhito Pramono, Rio Dewanto, Angga Dwimas Sasongko, Rachel Amanda","","15-Apr-21",2020,TV-14,"71 min","Documentaries, International Movies, Music & Musicals","Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma."
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,"",United States,"14-Apr-21",2021,TV-MA,"84 min",Documentaries,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.
s1093,Movie,Dolly Parton: A MusiCares Tribute,"",Dolly Parton,"","7-Apr-21",2021,TV-PG,"55 min","Documentaries, Music & Musicals","In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year."
s1098,Movie,Coded Bias,Shalini Kantayya,"","United States, China, United Kingdom","5-Apr-21",2020,TV-MA,"86 min",Documentaries,This documentary investigates the bias in algorithms after M.I.T. Media Lab researcher Joy Buolamwini uncovered flaws in facial recognition technology.
s1118,Movie,Ibrahim a Fate to Define,Lina Al Abed,"","Lebanon, Palestine, Denmark, Qatar","1-Apr-21",2019,TV-PG,"75 min","Documentaries, International Movies","Raised in a quiet home, Lina searches for answers while investigating the mystery behind her father's disappearance in this documentary."
s1143,Movie,White Boy,Shawn Rech,Richard Wershe Jr.,United States,"1-Apr-21",2017,TV-MA,"83 min",Documentaries,"This true-crime documentary exposes new facts about alleged teen drug lord ""White Boy Rick"" and his lesser-known role as an FBI informant."
s1148,Movie,Not a Game,Jose Gomez,Brendon Mcdonnell,United Kingdom,"31-Mar-21",2020,TV-MA,"98 min","Documentaries, International Movies, Sports Movies","This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents."
s1151,Movie,"7 Yards: The Chris Norton Story",Jonathon Link,Chris Norton,United States,"30-Mar-21",2021,TV-PG,"93 min",Documentaries,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side."
s1156,Movie,Marked,Nadine Ibrahim,"",Nigeria,"28-Mar-21",2021,TV-PG,"21 min","Documentaries, International Movies","This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality."
s1162,Movie,Elizabeth and Margaret: Love and Loyalty,"","",United Kingdom,"26-Mar-21",2020,TV-PG,"87 min",Documentaries,"This documentary takes an intimate look at the complex, widely misunderstood relationship between Queen Elizabeth II and her sister, Princess Margaret."
s1172,Movie,Seaspiracy,Ali Tabrizi,"",United States,"24-Mar-21",2021,TV-14,"90 min",Documentaries,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers alarming global corruption."
s6289,Movie,Betting on Zero,Ted Braun,William Ackman,United States,"1-Jun-17",2017,TV-PG,"104 min",Documentaries,"This documentary dives into the complex world of Herbalife, the international nutritional products company accused of being a pyramid scheme."
s1194,Movie,Wave of Cinema: 90's Generation,Adriano Rudiman,"PADI Reborn, Dul Jaelani, Efek Rumah Kaca, Jevin Julian, Gamaliel, ARAH, Sitha Marino, M. Irfan Ramli","","18-Mar-21",2020,TV-PG,"51 min","Documentaries, International Movies, Music & Musicals","Walk down memory lane and experience the soundtrack to beloved film ""Generasi 90an: Melankolia"" through nostalgic performances."
s1196,Movie,Operation Varsity Blues: The College Admissions Scandal,Chris Smith,Matthew Modine,United States,"17-Mar-21",2021,R,"100 min",Documentaries,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.
s1205,Movie,The Last Blockbuster,Taylor Morden,"",United States,"15-Mar-21",2020,TV-14,"87 min",Documentaries,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Oregon keeps the spirit of a bygone era alive."
s1208,Movie,Audrey,Helena Coan,Audrey Hepburn,"","14-Mar-21",2020,TV-14,"101 min",Documentaries,"An intimate portrait of legendary Hollywood actress, fashion icon and humanitarian Audrey Hepburn, who stood for love above all else."
s1249,Movie,Biggie: I Got a Story to Tell,Emmett Malloy,"The Notorious B.I.G., Sean ""P. Diddy"" Combs",United States,"1-Mar-21",2021,R,"98 min","Documentaries, Music & Musicals","Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king."
s1251,Movie,Connected,Milton Kremer,"Hernán Cattáneo, Richard Coleman","","1-Mar-21",2021,TV-G,"42 min","Documentaries, International Movies, Music & Musicals","Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón."
s1280,Movie,Made You Look: A True Story About Fake Art,Barry Avrich,"",Canada,"23-Feb-21",2020,TV-14,"90 min","Documentaries, International Movies","A woman walks into a New York gallery with a cache of unknown masterworks. Thus begins a story of art world greed, willfulness and a high-stakes con."
s1281,Movie,Pelé,"David Tryhorn, Ben Nicholas","",United Kingdom,"23-Feb-21",2021,TV-14,"109 min","Documentaries, International Movies, Sports Movies","Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero."
s1290,Movie,Wave of Cinema: Surat dari Timur,Saron Sakina,"Glenn Fredly, Marcello Tahitoe, Andien, Rahmania Astrini, Gamaliel, Cantika Abigail, Ivan Nestorman, Molukka Hiphop Community, Julie Estelle, Yovie Widianto, Irfan Ramli","","20-Feb-21",2020,TV-G,"58 min","Documentaries, International Movies, Music & Musicals","Featuring a mix of film footage and special performances, this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly."
s1465,Movie,The Creative Brain,"Jennifer Beamish, Toby Trackman",David Eagleman,United States,"1-Jan-21",2019,TV-14,"53 min",Documentaries,"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity."
s1293,Movie,Perú: Tesoro escondido,Luis Ara,"",Uruguay,"19-Feb-21",2017,TV-PG,"76 min","Documentaries, International Movies","It's a country steeped in cultural traditions that stretch back more than 1,000 years. But Peru is also a land of surprising natural riches."
s1304,Movie,The Most Unknown,Ian Cheney,"",United States,"17-Feb-21",2018,TV-PG,"92 min",Documentaries,"Traversing disciplines from physics to psychology, nine scientists share ideas and seek common ground by delving into deep existential questions."
s1328,Movie,This Is the Life,Ava DuVernay,"Abstract Rude, Chali 2na, Cut Chemist, Ellay Khule, Riddlore, Medusa, Myka Nyne, Pigeon John, 2Mex",United States,"11-Feb-21",2008,TV-MA,"98 min","Documentaries, Music & Musicals","Examine how the group of alternative hip-hop artists known as the Good Lifers started a movement and created a robust, progressive musical community."
s6762,Movie,Fishpeople,Keith Malloy,"","","1-Apr-18",2017,TV-14,"49 min","Documentaries, Sports Movies","In this exploration of the life-changing power of the ocean, six people from very different backgrounds find purpose and meaning in the sea."
s1344,Movie,"Strip Down, Rise Up",Michèle Ohayon,"",United States,"5-Feb-21",2021,R,"113 min",Documentaries,"In an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program."
s1375,Movie,Accomplice,Jeremy Grant,"Kurt Sorge, Tom Van Steenbergen, Cameron Zink, Graham Agassiz, Tyler McCaul, Cameron McCaul, Ethan Nell, Hannah Bergemann, Carson Storch, Brandon Semenuk, Veronique Sandler, Nico Vink, Garett Buehler, Jaxson Riddle, Andreu Lacondeguy, Paul Genovese, Paul Basagoitia",United States,"27-Jan-21",2021,TV-14,"52 min","Documentaries, International Movies, Sports Movies",Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.
s1412,Movie,What Would Sophia Loren Do?,Ross Kauffman,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",United States,"15-Jan-21",2021,TV-14,"32 min",Documentaries,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren."
s1421,Movie,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,"",United States,"11-Jan-21",2021,TV-MA,"90 min",Documentaries,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s."
s1426,Movie,Creating The Queen's Gambit,"","",United States,"8-Jan-21",2021,TV-14,"14 min",Documentaries,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life."
s1437,Movie,Ratones Paranoicos: The Band that Rocked Argentina,"Alejandro Ruax, Ramiro Martínez","Juan Sebastián Gutiérrez, Pablo Cano, Pablo Memi, Roy Quiroga","","6-Jan-21",2021,TV-MA,"76 min","Documentaries, International Movies, Music & Musicals","The irrepressible Ratones Paranoicos, Argentina's most enduring rock band, are featured in vintage concert and backstage footage as their story's told."
s1439,Movie,Tony Parker: The Final Shot,Florent Bodin,Tony Parker,France,"6-Jan-21",2020,TV-14,"99 min","Documentaries, International Movies, Sports Movies","This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player."
s1883,Movie,Dolly Parton: Here I Am,Francis Whately,Dolly Parton,United Kingdom,"6-Oct-20",2019,TV-14,"90 min","Documentaries, Music & Musicals","Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career."
s1455,Movie,Good Hair,Jeff Stilson,"Chris Rock, Nia Long, Maya Angelou, Ice-T, Eve, Meagan Good, Al Sharpton, KRS-One, Raven-Symoné",United States,"1-Jan-21",2009,PG-13,"96 min",Documentaries,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of Black hair.
